period_quarter,employee_id,employee_type,tenure_years,role_category,bureau_office,prior_cio_changes_experienced,cloud_migration_phase,legacy_systems_in_bureau,systems_migrated_in_bureau,it_om_budget_ratio_pct,security_incidents_quarter,employee_engagement_score,leadership_confidence_score,change_readiness_index,cultural_sentiment_score,change_resistance_index,digital_training_hours_quarter,innovation_ideas_submitted,participated_in_scrum,participated_feedback_session,is_change_agent,intrapreneur_assigned,quick_wins_experienced_count,digital_tool_adoption_score,collaboration_cross_bureau_index,communication_effectiveness_score,feedback_frequency_score,telework_adoption_score,blog_engagement_score,twitter_following_cio,transparency_perception_score,security_posture_score,years_since_last_training
2013-Q3,FCC_E001,federal_employee,9.4,program_staff,Office_of_Communications,1,inventory,9,0,84.3,2,1.33,4.15,3.8,2.12,6.57,0,0,0,0,0,0,0,2.4,2.09,2.98,3.5,1.74,1.0,0,1.38,3.37,0.76
2013-Q3,FCC_E002,contractor,8.1,IT_staff,Office_of_Economics_Analytics,6,inventory,11,0,84.3,2,1.85,2.55,3.36,1.2,7.45,0,0,0,0,0,0,0,4.1,3.59,2.5,1.42,1.0,2.19,0,3.03,3.07,0.2
2013-Q3,FCC_E003,contractor,19.9,program_staff,Wireline_Competition,8,inventory,12,0,84.3,2,2.08,1.55,1.69,1.0,9.08,0,0,0,0,0,0,0,1.0,1.8,1.6,4.67,1.06,2.31,0,4.94,4.67,0.2
2013-Q3,FCC_E004,federal_employee,12.3,policy_analyst,Wireless_Telecommunications,5,inventory,13,0,84.3,2,1.0,1.61,2.11,1.0,9.04,0,0,0,0,0,0,0,2.02,3.08,2.51,2.83,3.55,1.0,0,2.7,3.68,1.25
2013-Q3,FCC_E005,federal_employee,7.4,program_staff,Office_of_Communications,7,inventory,8,0,84.3,2,2.14,1.9,1.0,1.0,10.0,0,0,0,0,0,0,0,1.0,3.35,3.05,1.95,1.83,2.14,0,2.97,1.0,2.14
2013-Q3,FCC_E006,federal_employee,10.2,administrative,Office_of_Media_Relations,7,inventory,11,0,84.3,2,1.0,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,1.1,3.24,3.25,2.61,1.55,1.0,0,3.58,1.0,0.88
2013-Q3,FCC_E007,federal_employee,8.7,field_operations,Enforcement_Bureau,7,inventory,13,0,84.3,2,2.66,1.0,1.7,1.0,9.16,0,1,0,1,0,0,0,1.97,3.01,4.48,3.11,4.58,1.0,0,4.68,2.6,3.62
2013-Q3,FCC_E008,contractor,16.7,program_staff,Enforcement_Bureau,2,inventory,14,0,84.3,2,3.05,3.09,4.22,1.44,6.02,0,0,0,0,0,0,0,1.0,1.97,2.1,1.0,1.92,1.0,0,3.2,2.07,13.22
2013-Q3,FCC_E009,federal_employee,19.0,policy_analyst,Office_of_Managing_Director,3,inventory,11,0,84.3,2,2.43,1.62,1.0,1.62,10.0,1,0,0,0,0,0,0,2.36,1.0,1.36,1.0,1.29,1.32,0,4.28,3.57,1.09
2013-Q3,FCC_E010,contractor,20.4,policy_analyst,Office_of_Managing_Director,2,inventory,10,0,84.3,2,1.44,3.5,2.81,2.71,8.33,0,0,0,0,0,0,0,2.95,2.54,3.07,2.01,1.0,1.53,0,3.37,1.65,2.36
2013-Q3,FCC_E011,federal_employee,20.9,program_staff,Media_Bureau,3,inventory,11,0,84.3,2,2.13,2.65,1.0,2.19,10.0,0,0,0,0,0,0,0,2.15,2.98,3.7,1.7,2.01,1.63,0,2.14,2.82,2.38
2013-Q3,FCC_E012,contractor,19.8,administrative,Office_of_Communications,2,inventory,13,0,84.3,2,4.07,2.17,1.0,2.61,10.0,1,0,0,0,0,0,0,1.0,2.27,2.62,3.51,2.07,1.01,0,1.19,2.85,2.52
2013-Q3,FCC_E013,contractor,15.0,program_staff,Office_of_Communications,7,inventory,13,0,84.3,2,2.58,1.15,1.78,1.0,9.55,0,0,0,0,0,0,0,2.56,2.6,3.54,3.68,3.36,2.96,0,3.19,3.19,0.38
2013-Q3,FCC_E014,federal_employee,11.8,program_staff,Media_Bureau,2,inventory,13,0,84.3,2,1.03,2.33,3.59,2.34,7.66,1,0,0,0,0,0,0,2.99,2.86,2.16,1.18,1.33,1.0,0,1.43,3.86,5.07
2013-Q3,FCC_E015,federal_employee,6.5,IT_staff,Wireless_Telecommunications,3,inventory,12,0,84.3,2,4.36,1.87,1.23,2.53,9.17,0,0,0,0,0,0,0,2.16,2.49,2.58,2.59,3.5,4.33,0,2.61,4.5,7.9
2013-Q3,FCC_E016,federal_employee,22.1,administrative,Office_of_Legislative_Affairs,2,inventory,7,0,84.3,2,3.94,1.0,1.98,2.04,9.71,1,0,0,0,0,0,0,2.06,1.39,4.23,2.15,4.17,2.61,0,3.12,3.27,1.48
2013-Q3,FCC_E017,federal_employee,14.4,administrative,Office_of_Economics_Analytics,4,inventory,8,0,84.3,2,3.65,1.9,3.96,1.97,6.69,0,0,0,1,0,0,0,2.53,3.52,2.74,1.0,2.36,2.05,0,2.78,1.82,0.95
2013-Q3,FCC_E018,federal_employee,13.0,IT_staff,Office_of_General_Counsel,6,inventory,10,0,84.3,2,3.68,1.98,2.35,2.9,8.22,1,0,0,0,0,0,0,2.48,3.62,3.06,2.94,1.0,1.91,0,2.1,5.31,4.83
2013-Q3,FCC_E019,federal_employee,22.6,program_staff,International_Bureau,1,inventory,12,0,84.3,2,4.48,3.44,1.94,2.41,9.85,0,0,0,1,0,0,0,4.01,2.0,3.02,1.35,1.56,4.29,0,3.31,3.69,1.17
2013-Q3,FCC_E020,federal_employee,10.1,policy_analyst,Public_Safety,1,inventory,13,0,84.3,2,2.35,3.44,2.25,2.39,8.79,0,1,0,0,0,0,0,1.0,1.01,1.8,1.27,2.44,1.0,0,1.1,3.09,0.35
2013-Q3,FCC_E021,federal_employee,20.5,program_staff,Office_of_General_Counsel,3,inventory,8,0,84.3,2,1.09,2.33,3.86,1.98,7.85,1,1,0,0,0,0,0,3.02,1.34,2.53,5.41,1.0,1.0,0,1.59,1.0,1.34
2013-Q3,FCC_E022,federal_employee,17.3,IT_staff,Media_Bureau,3,inventory,6,0,84.3,2,2.09,4.15,1.0,2.68,9.86,1,0,0,0,0,0,0,2.13,1.81,2.04,1.05,2.77,1.0,1,4.55,1.46,0.69
2013-Q3,FCC_E023,federal_employee,9.3,administrative,Office_of_Communications,4,inventory,9,0,84.3,2,3.09,2.26,1.4,1.0,9.89,0,0,0,0,0,0,0,1.0,3.56,3.74,1.0,3.58,2.16,0,3.38,1.87,1.08
2013-Q3,FCC_E024,federal_employee,15.0,policy_analyst,Media_Bureau,5,inventory,12,0,84.3,2,2.51,1.36,1.4,1.79,9.85,1,0,0,0,0,0,0,2.33,2.79,2.92,1.48,1.0,1.92,1,2.48,4.42,0.23
2013-Q3,FCC_E025,federal_employee,21.3,program_staff,Administrative_Operations,2,inventory,9,0,84.3,2,4.69,3.68,2.88,2.59,7.61,1,0,0,0,0,0,0,1.78,4.12,1.0,3.03,1.52,3.21,0,2.93,3.61,3.86
2013-Q3,FCC_E026,contractor,20.0,field_operations,Office_of_Strategic_Planning,8,inventory,12,0,84.3,2,1.0,1.8,2.62,1.54,8.88,0,0,0,0,0,0,0,1.0,1.07,2.84,2.15,4.06,1.0,0,3.35,3.01,0.54
2013-Q3,FCC_E027,federal_employee,24.5,field_operations,Administrative_Operations,3,inventory,12,0,84.3,2,1.09,3.49,4.28,1.74,7.73,0,0,0,0,0,0,0,3.36,2.15,3.71,1.05,1.0,1.0,1,3.82,2.8,0.66
