variable_name,data_type,measurement_scale,possible_values,case_source,justification,ml_relevance
period_quarter,Categorical (string),Nominal - Temporal,"2013-Q3, 2013-Q4, 2014-Q1, 2014-Q2, 2014-Q3, 2014-Q4, 2015-Q1, 2015-Q2, 2015-Q3, 2015-Q4, 2016-Q1",Timeline spans Dr. Bray's arrival (August 2013) through server migration completion (2016). Aligns with the case's phased modernization approach.,"Required for time-series analysis and tracking cultural transformation trajectory. Enables students to observe how Digital Culture and Leadership metrics evolve across key milestones (e.g., 2014-Q1 = 1/3-1/3-1/3 split; 2015-Q3 = 80% enthusiasm post-migration).","Primary temporal feature. Use as index for time-series models, or encode for regression/classification models to capture temporal patterns."
employee_id,Categorical (string),Nominal - Identifier,FCC_E001 through FCC_E055,"55 FCC employees sampled from 18 bureaus/offices, consistent with the case description of organizational structure.",Unique identifier for panel data structure. Enables tracking individual employees across quarters for longitudinal analysis of cultural change.,"Use for grouping in mixed-effects models, or remove for pure cross-sectional ML (unless employee-level clustering is desired)."
employee_type,Categorical (string),Nominal - Binary,"federal_employee, contractor","Case explicitly states: ""extremely high retention, where federal employees have been working there for 15.5 years and contractors for 16 years"" (Hamilton, 2014).",Different employment relationships may yield different cultural responses to digital transformation. Contractors may have different incentives and change readiness than federal employees.,Binary feature. Encode as 0/1 dummy variable. Interaction with tenure may reveal differential change patterns.
tenure_years,Numeric (continuous),Ratio,1.0 to 35.7 years (mean ~15.7),"Case: ""extremely high retention"" with federal employees at 15.5 years average and contractors at 16 years. Bray noted long tenure created ""investment in the status quo and resistance to change.""",Critical predictor of change resistance per the case. Longer tenure correlates with deeper institutional knowledge but also stronger attachment to legacy systems and routines.,"Continuous numeric feature. Non-linear relationships expected (e.g., U-shaped or threshold effects). Consider binning or polynomial terms."
role_category,Categorical (string),Nominal,"IT_staff, program_staff, administrative, field_operations, policy_analyst","FCC has 7 bureaus and 10 offices performing diverse functions (regulatory, legal, media, safety, international). These categories capture the functional diversity.","Role determines exposure to legacy IT systems, digital training needs, and capacity for telework. IT_staff were natural change agents; field_operations faced unique challenges.",Multi-class categorical. One-hot encode for ML models. Expected to interact strongly with digital adoption metrics.
bureau_office,Categorical (string),Nominal,"18 distinct bureaus/offices (e.g., Wireless_Telecommunications, Office_of_Chief_Information_Officer, etc.)","Case: ""18 bureaus and offices"" with potential for ""misunderstandings and competition between diverse stakeholders"" over the cloud infrastructure.","Each bureau had different legacy system portfolios, stakeholder pressures, and modernization priorities. Bureau-level clustering affects culture transformation speed.",High-cardinality nominal feature. Use target encoding or embed as bureau-level aggregates. Remove if causing overfitting in small models.
prior_cio_changes_experienced,Numeric (integer),Ordinal/Ratio,0 to 9 (mean ~4.1),"Case: ""nine different CIOs in less than 8 years before the arrival of Dr. David Bray, the tenth CIO in August 2013."" This ""rotating door"" created failed programs and employee fears.","Directly measures institutional trauma from leadership instability. Employees who survived more CIO changes were more cynical and resistant, requiring more trust-building effort.",Integer feature with expected negative correlation to leadership_confidence_score. Non-linear effect (diminishing returns after certain threshold).
cloud_migration_phase,Categorical (string),Ordinal,"inventory, consolidation, migration, optimization","Case describes four phases: (1) inventory of 207 systems, (2) consolidation to 102 systems by 2015, (3) server lift/migration to cloud, (4) optimization with managed services.","Captures the overall technical modernization stage which directly impacts digital culture context. Each phase had distinct cultural challenges (fear during inventory, stress during migration).",Ordinal categorical with clear progression. Label encode (0-3) or one-hot. Strong predictor of multiple cultural outcomes.
legacy_systems_in_bureau,Numeric (integer),Ratio,5 to 14 (bureau-level counts),"Case: 207 legacy systems organization-wide, with ""more than half were over 10 years old"" and consuming ""more than 85% of the IT budget.""",Bureau-level technical debt indicator. Bureaus with more legacy systems faced greater change anxiety and required more intensive change management.,Bureau-level numeric feature. Moderate correlation with security posture and digital adoption expected.
systems_migrated_in_bureau,Numeric (integer),Ratio,0 to 7 (bureau-level counts),"Case: By 2015, 207 systems consolidated to 102; by 2016 all servers moved to off-site managed-services data center via ""Operation Server Lift.""",Progress indicator for bureau-level modernization. More migrated systems should correlate with reduced fear and increased digital confidence.,Integer feature. Ratio with legacy_systems_in_bureau creates meaningful migration_progress_pct feature.
it_om_budget_ratio_pct,Numeric (continuous),Ratio,45.2 to 85.5 (declining over time; target <50%),"Case: ""consumed more than 85% of the IT budget"" initially; achieved ""reducing IT budget spending on system maintenance from 85% to less than 50%"" with flat budget.","Key financial indicator of modernization success. Declining O&M ratio means more funds available for innovation, which boosts cultural optimism about digital transformation.",Continuous target-related feature. Strong negative correlation with security_posture_score and positive with cultural outcomes expected.
security_incidents_quarter,Numeric (integer),Ratio,0 to 3 (declining over time),"Case: ""outdated IT systems were not only at the risk of failure but are also prone to cyber-attacks."" Cloud migration improved security posture.",Security incidents erode trust in digital transformation. Fewer incidents in cloud environment support cultural shift toward confidence in new infrastructure.,Small integer count feature (Poisson-like). Use as-is or log-transform. Correlates with cloud_migration_phase.
employee_engagement_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.34,"Case: From ""employee morale was lower"" to employees who ""volunteered to work during holidays"" and ""making the legacy IT at FCC right.""",Core Digital Culture metric from the corporate governance framework. Tracks emotional commitment to organizational goals. This is a KEY INPUT for students to derive Digital Culture and Leadership OKRs.,Primary outcome/predictor feature. Highly correlated with cultural_sentiment_score. Could serve as target for engagement prediction models.
leadership_confidence_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 9.49,"Case: Bray spent first 4 months meeting all 18 bureaus; recognized as ""most social CIO in the world""; built trust through blog, Twitter, and ""human flak jacket"" approach.",Core Digital Leadership metric. Trust in IT leadership is prerequisite for cultural change. Prior CIO churn destroyed trust; Bray rebuilt it systematically. Students can create OKRs around leadership effectiveness.,Important predictor of engagement and sentiment. Expected negative correlation with prior_cio_changes_experienced.
change_readiness_index,Numeric (continuous),Interval/Ratio (1-10),1.0 to 8.95,"Case: From employees who ""feared IT modernization and transformation"" to those embracing cloud-based solutions. Bray asked ""what brings them joy"" to reframe change.","Measures psychological readiness for digital transformation. Critical leading indicator for change management success. Per the OKR framework, change management metrics are a data domain for Digital Culture and Leadership.",Predictor of adoption and sentiment outcomes. Negative correlation with change_resistance_index expected (-0.962 in this dataset).
cultural_sentiment_score,Numeric (continuous),Interval/Ratio (1-10),1.0 to 10.0,"Case: ""one-third were optimistic, one-third were neutral, and one-third wanted to go back"" (early 2014) → ""over 80% expressed enthusiasm"" (September 2015).",Primary cultural transformation tracker. Directly reflects the case's most vivid cultural milestone. Students can create OKRs targeting this metric.,"Key target variable for classification (e.g., high/medium/low sentiment) or regression. Trimodal pattern in early quarters; unimodal positive skew in later quarters."
change_resistance_index,Numeric (continuous),Interval/Ratio (1-10),1.3 to 10.0,"Case: ""employees were less enthusiastic and resistant to IT modernization"" initially; fears included ""losing their friends and needing to learn new work practices.""",Inverse measure of change readiness. Captures the emotional and practical barriers employees faced. Higher resistance among long-tenured staff and those who experienced more CIO changes.,Complements change_readiness_index. Can be used as an alternative target or combined into a single change_attitude feature.
digital_training_hours_quarter,Numeric (integer),Ratio,0 to 15 hours per quarter,"Case: Bray focused on empowering employees with new skills; training programs for Office 365, virtual desktop, cloud tools, and agile methodologies (weekly scrums).",Tracks investment in digital capability building. From the OKR framework: training completion and competency improvement are key KPIs for Digital Culture and Leadership.,Count feature with increasing trend. Correlates with digital_tool_adoption_score. Can be binned into categories for classification.
innovation_ideas_submitted,Numeric (integer),Ratio,0 to 6 ideas per quarter,"Case: Bray empowered ""change agents"" and ""creative problem solvers"" to propose ""new ideas that were data-driven and cloud-based."" Bottom-up innovation was central to the cultural shift.",Measures bottom-up innovation participation - a direct indicator of cultural shift from passive maintenance to active problem-solving. Per the governance framework: employee-driven initiatives are a Digital Culture KPI domain.,Count feature (Poisson-like). Correlates with is_change_agent and cultural sentiment. Can serve as innovation prediction target.
participated_in_scrum,Numeric (binary),Nominal - Binary (0/1),0 or 1,"Case: Bray introduced ""weekly scrums with staff to track progress"" and agile methodologies as part of the cultural transformation.",Binary indicator of agile methodology adoption. Scrum participation represents behavioral change toward transparency and iterative working - core elements of digital culture.,Binary feature. Participation rate increases over time. Use as feature or aggregate to bureau-level adoption rates.
